Step,Epoch,Value
1523,0,28.99
3046,1,32.43
4569,2,33.51
6092,3,33.81
7615,4,34.01
9138,5,34.17
10661,6,34.36
12184,7,34.51
13707,8,34.56
15230,9,34.61
16753,10,34.72
18276,11,34.71
19799,12,34.74
21322,13,34.82
22845,14,34.88
24368,15,34.88
25891,16,34.94
27414,17,34.94
28937,18,34.92
30460,19,34.98
31983,20,34.95
33506,21,34.94
35029,22,35.04
36552,23,34.89
38075,24,35.07
39598,25,35.08
41121,26,35.09
42644,27,35.10
44167,28,35.20
45690,29,34.95
47213,30,35.19
48736,31,35.23
50259,32,35.19
51782,33,35.21
53305,34,35.21
54828,35,35.27
56351,36,35.25
57874,37,35.25
59397,38,35.29
60920,39,35.27
62443,40,35.29
63966,41,35.31
65489,42,35.30
67012,43,35.38
68535,44,35.24
